"Taxon","State"
"Tricholoma_aestuans","Present"
"Tricholoma_subaureum","Present"
"Tricholoma_magnivelare","Present"
"Tricholoma_terreum","Present"
"Tricholoma_myomyces","Present"
"Tricholoma_cingulatum","Present"
"Tricholoma_inamoenum","Present"
"Tricholoma_bufonium","Present"
"Leucopaxillus_albissimus","Absent"
"Tricholoma_vernaticum","Present"
"Tricholoma_venenatum","Present"
"Tricholoma_pardinum","Present"
"Tricholoma_atroviolaceum","Present"
"Entoloma_lageniformis","Absent"
"Entoloma_parvula","Absent"
"Entoloma_pilocystidiata","Absent"
"Entoloma_pamiae","Absent"
"Entoloma_tenuissimum","Absent"
"Entoloma_farinosa","Absent"
"Entoloma_setiformis","Absent"
"Entoloma_debilis","Absent"
"Entoloma_fusca","Absent"
"Entoloma_albostrigosa","Absent"
"Entoloma_lasia","Absent"
"Entoloma_crassicystidiatum","Absent"
"Entoloma_yunnanense","Absent"
"Entoloma_furfuraceum","Absent"
"Pouzarella_nodospora","Absent"
"Entoloma_violaceovillosum","Absent"
"Entoloma_subaraneosum","Absent"
"Entoloma_araneosum","Absent"
"Entoloma_prismaticum","Absent"
"Entoloma_canescens","Absent"
"Entoloma_excentricum","Absent"
"Entoloma_violaceozonatum","Absent"
"Entoloma_porphyrescens","Absent"
"Trichopilus_porphyrophaeus","Absent"
"Entoloma_jubatum","Absent"
"Entoloma_phaeocarpum","Absent"
"Entoloma_flocculosum","Absent"
"Entoloma_rusticoides","Absent"
"Entoloma_costatum","Absent"
"Entoloma_halophilum","Absent"
"Entoloma_calongei","Absent"
"Richoniella_asterospora","Absent"
"Entoloma_lepidissimum","Absent"
"Leptonia_gracilipes","Absent"
"Entoloma_sericeonitidum","Absent"
"Entoloma_abortivum","Absent"
"Entoloma_undatum","Absent"
"Claudopus_minutoincanus","Absent"
"Claudopus_depluens","Absent"
"Entoloma_parasiticum","Absent"
"Claudopus_viscosus","Absent"
"Entoloma_allochroum","Absent"
"Entoloma_coelestinum","Absent"
"Entoloma_placidum","Absent"
"Entoloma_euchroum","Absent"
